date,exporter,import_quantity_actual,import_quantity_pred,unit_price_actual,unit_price_pred
2021-11-01,Brazil,3753250.0,3297010.0,594.7641441415853,603.2654708355136
2021-12-01,Brazil,2116400.0,3753250.0,626.0105632202675,594.7641441415853
2022-01-01,Brazil,2215180.0,2116400.0,611.3391823686512,626.0105632202675
2022-02-01,Brazil,1291600.0,2215180.0,603.8147135331342,611.3391823686512
2022-03-01,Brazil,2864140.0,1291600.0,637.7230753382734,603.8147135331342
2022-04-01,Brazil,6301570.128,2864140.0,668.1142085989227,637.7230753382734
2022-05-01,Brazil,7793330.0,6301570.128,664.6837811307022,668.1142085989227
2022-06-01,Brazil,7237560.0,7793330.0,692.8186517278347,664.6837811307022
2022-07-01,Brazil,6971460.0,7237560.0,730.0988995130532,692.8186517278347
2022-08-01,Brazil,6245250.0,6971460.0,721.3336297184705,730.0988995130532
2022-09-01,Brazil,5576550.002,6245250.0,714.563959898173,721.3336297184705
2022-10-01,Brazil,2795520.0,5576550.002,694.0128634383965,714.563959898173
2022-11-01,Brazil,2536520.0,2795520.0,675.4364984306549,694.0128634383965
2022-12-01,Brazil,2564160.0,2536520.0,664.2371478376294,675.4364984306549
2023-01-01,Brazil,1831540.0,2564160.0,672.0811224430413,664.2371478376294
2023-02-01,Brazil,408681.0,1831540.0,686.6363814302924,672.0811224430413
2023-03-01,Brazil,1671330.0,408681.0,656.2843555727138,686.6363814302924
2023-04-01,Brazil,5296010.0,1671330.0,630.0500946938109,656.2843555727138
2023-05-01,Brazil,10933700.0,5296010.0,611.3275030410006,630.0500946938109
2023-06-01,Brazil,9529330.0,10933700.0,588.6749350688256,611.3275030410006
2023-07-01,Brazil,9229210.0,9529330.0,561.1871104893527,588.6749350688256
2023-08-01,Brazil,9087190.0,9229210.0,555.8401387006813,561.1871104893527
2023-09-01,Brazil,6881450.0,9087190.0,569.0431768013182,555.8401387006813
2023-10-01,Brazil,4814110.0,6881450.0,569.601133542738,569.0431768013182
2023-11-01,Brazil,5289240.025,4814110.0,570.0794642987354,569.601133542738
2023-12-01,Brazil,4979410.0,5289240.025,573.3721087436918,570.0794642987354
2024-01-01,Brazil,4074670.0,4979410.0,570.8466744544784,573.3721087436918
2024-02-01,Brazil,2888840.0,4074670.0,559.3461434345414,570.8466744544784
2024-03-01,Brazil,3022410.0,2888840.0,522.6690978389687,559.3461434345414
2024-04-01,Brazil,5914640.0,3022410.0,479.67995245687314,522.6690978389687
2024-05-01,Brazil,8812100.0,5914640.0,474.4330638553268,479.67995245687314
2024-06-01,Brazil,9719540.0,8812100.0,475.3958284033529,474.4330638553268
2024-07-01,Brazil,9123390.0,9719540.0,483.0365237044034,475.3958284033529
2024-08-01,Brazil,10237900.0,9123390.0,485.8499311381742,483.0365237044034
2024-09-01,Brazil,8444670.005,10237900.0,481.1940656761659,485.8499311381742
2024-10-01,Brazil,5533980.0,8444670.005,473.27181522150903,481.1940656761659
2024-11-01,Brazil,3939880.0,5533980.0,473.40698726852764,473.27181522150903
2024-12-01,Brazil,2935360.0,3939880.0,465.6650332495961,473.40698726852764
2025-01-01,Brazil,3590000.0,2935360.0,459.6100278550252,465.6650332495961
2025-02-01,Brazil,2440000.0,3590000.0,454.91803278669886,459.6100278550252
2025-03-01,Brazil,690000.0,2440000.0,456.52173912977315,454.91803278669886
2025-04-01,Brazil,4850000.0,690000.0,455.67010309268954,456.52173912977315
2025-05-01,Brazil,12110000.0,4850000.0,455.8216350123488,455.67010309268954
2025-06-01,Brazil,10620000.0,12110000.0,455.7438794726501,455.8216350123488
2025-07-01,Brazil,10390000.0,10620000.0,456.2078922039984,455.7438794726501
2025-08-01,Brazil,10490000.0,10390000.0,456.6253574832739,456.2078922039984
2025-09-01,Brazil,10960000.0,10490000.0,456.20437956200215,456.6253574832739
2025-10-01,Brazil,7120000.0,10960000.0,456.4606741572392,456.20437956200215
2010-02-01,US,2948828.928,4026978.304,458.62846879923904,463.7759637652958
2010-03-01,US,3540076.288,2948828.928,448.94725161345195,458.62846879923904
2010-04-01,US,2298529.536,3540076.288,442.0052177217522,448.94725161345195
