episode,us_return,jp_return,us_fiscal_revenue,us_employment_gain,us_consumer_surplus,us_domestic_firm_profit,jp_sales_retention,jp_relocation_cost,jp_firm_profit
16,61.78168586774872,549.367165863514,0.02644644143617172,0.07552829750624471,-0.01322322071808586,0.06042263800499576,0.8727406669408082,0.18603170961141588,0.6867089573293925
17,61.55852557671075,547.4652196466923,0.02785990033412385,0.07532803075730252,-0.013929950167061925,0.060262424605842024,0.869101026840508,0.18476950228214267,0.6843315245583653
18,56.240455941001045,631.7793016135693,0.025486739417874583,0.06882202586263947,-0.012743369708937292,0.055057620690111574,0.912922959215939,0.12319883219897747,0.7897241270169615
19,56.95501415824291,609.6708685159683,0.03163716184961374,0.06997656325988877,-0.01581858092480687,0.055981250607911016,0.8962467942386867,0.13415820859372618,0.7620885856449604
20,65.47542513334875,498.9412397146225,0.02258757574084368,0.0797823655805078,-0.01129378787042184,0.06382589246440624,0.8492853462696076,0.22560879662632943,0.6236765496432782
21,63.89912713664936,531.9636115431786,0.01732874573580229,0.07763494827654022,-0.008664372867901145,0.062107958621232175,0.8713596612215042,0.206405146792531,0.6649545144289732
22,63.356619270761044,540.7726314663887,0.015921695376327677,0.07691524890121892,-0.007960847688163838,0.06153219912097514,0.8765661809593439,0.200600391626358,0.6759657893329858
23,65.13568001288614,508.78299430012703,0.020625107899154504,0.07927966866448596,-0.010312553949577252,0.06342373493158877,0.8567003289237619,0.22072158604860304,0.6359787428751589
24,66.24306498154664,490.0985009968281,0.02063053470424755,0.08061092111744775,-0.010315267352123776,0.0644887368939582,0.8464373165741563,0.23381419032812117,0.6126231262460351
25,66.87898499839466,471.80653288960457,0.02623458924740011,0.08164467375996473,-0.013117294623700055,0.06531573900797179,0.8328993203118443,0.24314115419983864,0.5897581661120057
26,68.04878783933282,468.05058270692825,0.017732157771430498,0.08264191604590149,-0.008866078885715249,0.0661135328367212,0.8376401457935572,0.2525769174098968,0.5850632283836603
27,69.75154617514323,457.3511677980423,0.011917825814262397,0.0844089653938867,-0.0059589129071311985,0.06752717231510938,0.8400457955896855,0.26835683584213255,0.5716889597475528
28,71.13839444382543,417.7847754955292,0.01735893757754588,0.08633744224390297,-0.00867946878877294,0.06906995379512237,0.8079131409525871,0.28568217158317566,0.5222309693694116
29,71.00264869630301,428.378072232008,0.01402452580056314,0.0860139780388528,-0.00701226290028157,0.06881118243108225,0.8183014189824463,0.2828288286924362,0.53547259029001
30,71.49903768050082,418.52775275707245,0.015086409400112744,0.08666165151022276,-0.007543204700056372,0.06932932120817822,0.8117266274988651,0.2885669365525245,0.5231596909463406
31,70.84484503715694,420.966673642397,0.018205941593552523,0.08602533978473442,-0.009102970796776261,0.06882027182778755,0.8091460617259144,0.2829377196729183,0.5262083420529963
32,70.02722517686033,431.48359805345535,0.01965362400625323,0.08511222372248853,-0.009826812003126613,0.06808977897799083,0.8141192335635423,0.27476473599672313,0.5393544975668192
33,71.1443191340851,424.9252460896969,0.015125388806808764,0.08623718111341039,-0.007562694403404382,0.06898974489072832,0.8159488884732127,0.2847923308610916,0.5311565576121211
34,71.83638371300927,412.96317636966705,0.015203726858383369,0.08707275575401996,-0.007601863429191684,0.06965820460321596,0.8083951458334921,0.29219117537140843,0.5162039704620839
35,71.6532068738044,416.29399597644806,0.014940493963626003,0.08683993585618921,-0.007470246981813001,0.06947194868495138,0.8105107948184014,0.29014329984784126,0.5203674949705601
36,70.9018759267814,418.49762856960297,0.018881689146791128,0.08612637439020798,-0.009440844573395564,0.06890109951216639,0.8069484338164329,0.2838263981044293,0.5231220357120037
37,71.99725138876994,408.46102237701416,0.015715819652016065,0.08729072617169542,-0.007857909826008033,0.06983258093735634,0.8046796806156635,0.29410340264439583,0.5105762779712677
38,72.26652852438755,404.7253832221031,0.015318507735821552,0.08759527504064954,-0.007659253867910775,0.07007622003251963,0.8026869628578425,0.2967802338302135,0.505906729027629
