period,partner_desc,net_weight_tons,primary_value_usd,quantity_tons,value_usd,tariff_rate,data_quality_score
201707,USA,455155.186,199411426.0,455155.186,199411426.0,0.03,100
201708,Brazil,5614754.791,2459922008.0,5614754.791,2459922008.0,0.03,100
201708,Argentina,1283005.883,562107256.0,1283005.883,562107256.0,0.03,100
201708,USA,166414.637,72909155.0,166414.637,72909155.0,0.03,100
201709,Brazil,5495922.037,2407859306.0,5495922.037,2407859306.0,0.03,100
201709,USA,872669.237,382331614.0,872669.237,382331614.0,0.03,100
201709,Argentina,673945.896,295267452.0,673945.896,295267452.0,0.03,100
201710,Brazil,2989605.018,1391986145.0,2989605.018,1391986145.0,0.03,100
201710,USA,1175661.998,547398470.0,1175661.998,547398470.0,0.03,100
201710,Argentina,679734.784,316490438.0,679734.784,316490438.0,0.03,100
201711,USA,4432145.997,1941800468.0,4432145.997,1941800468.0,0.03,100
201711,Brazil,2641751.49,1157397406.0,2641751.49,1157397406.0,0.03,100
201711,Argentina,624101.806,273429887.0,624101.806,273429887.0,0.03,100
201712,USA,5548262.11,2583319181.0,5548262.11,2583319181.0,0.03,100
201712,Brazil,1764072.17,821367373.0,1764072.17,821367373.0,0.03,100
201712,Argentina,574670.043,267571379.0,574670.043,267571379.0,0.03,100
201801,USA,5814260.138,2450851954.0,5814260.138,2450851954.0,0.03,100
201801,Brazil,2073710.0,867589738.0,2073710.0,867589738.0,0.03,100
201801,Argentina,89150.0,36780617.0,89150.0,36780617.0,0.03,100
201802,USA,3344520.034,1403024319.0,3344520.034,1403024319.0,0.03,100
201802,Brazil,1746070.0,730269696.0,1746070.0,730269696.0,0.03,100
201803,USA,3100550.194,1308850764.0,3100550.194,1308850764.0,0.03,100
201803,Brazil,2332590.0,1001081676.0,2332590.0,1001081676.0,0.03,100
201804,Brazil,4400990.0,1899299895.0,4400990.0,1899299895.0,0.03,100
201804,USA,2418940.121,1035261752.0,2418940.121,1035261752.0,0.03,100
201805,Brazil,9123510.0,3973503729.0,9123510.0,3973503729.0,0.03,100
201805,USA,489540.0,214912646.0,489540.0,214912646.0,0.03,100
201806,Brazil,7838560.0,3505953717.0,7838560.0,3505953717.0,0.03,100
201806,USA,630253.0,276191091.0,630253.0,276191091.0,0.03,100
201806,Argentina,120320.0,51068986.0,120320.0,51068986.0,0.03,100
201807,Brazil,7044110.0,3145648682.0,7044110.0,3145648682.0,0.03,100
201807,USA,308127.161,136572801.0,308127.161,136572801.0,0.03,100
201807,Argentina,297068.0,122932313.0,297068.0,122932313.0,0.03,100
201808,Brazil,7945790.0,3433599154.0,7945790.0,3433599154.0,0.03,100
201808,Argentina,547942.0,231884955.0,547942.0,231884955.0,0.03,100
201808,USA,265378.0,116689033.0,265378.0,116689033.0,0.03,100
201809,Brazil,7590280.0,3244168735.0,7590280.0,3244168735.0,0.03,100
201809,Argentina,153510.0,66612890.0,153510.0,66612890.0,0.03,100
201809,USA,132248.0,57420840.0,132248.0,57420840.0,0.03,100
201810,Brazil,6530680.0,2853156125.0,6530680.0,2853156125.0,0.03,100
201810,USA,66955.2,30035845.0,66955.2,30035845.0,0.03,100
201810,Argentina,33200.006,13792471.0,33200.006,13792471.0,0.03,100
201811,Brazil,5068520.0,2214336895.0,5068520.0,2214336895.0,0.03,100
201811,Argentina,36118.9,15569254.0,36118.9,15569254.0,0.03,100
201812,Brazil,4386840.0,1973967615.0,4386840.0,1973967615.0,0.03,100
